date,tick_type,crag_name,route_name,grade,area_name,tries,rating,notes,partner,style
2018-05-06,onsight,Zimmerbergwände,Armin Weich Ged.-Weg,5-,Sektor 1,1,4,,,sport
2018-05-06,attempt,Zimmerbergwände,Murmeltier,7+,Sektor 1,0,5,,,sport
2018-05-22,attempt,Steinberg,Die Kunst des Pirschens,7-,Sektor 2 & 3,1,2,,,sport
2018-05-22,redpoint,Steinberg,Sonnenkraft,8-,Sektor 2 & 3,3,5,,,sport
2018-05-22,redpoint,Steinberg,Dr. Klemminger,7-,Sektor 2 & 3,3,5,,,sport
2018-05-22,attempt,Steinberg,Dr. Klemminger,7-,Sektor 2 & 3,1,5,,,sport
2018-05-22,onsight,Steinberg,Im Regen,7+,Sektor 4,1,4,,,sport
2018-05-22,attempt,Steinberg,Sonnenkraft,7+/8-,Sektor 2 & 3,1,5,,,sport
2018-05-27,attempt,Klausener Wand,Nur Fliegen ist schöner,8+,Klausener Wand,1,5,,,sport
2018-05-27,attempt,Klausener Wand,Luft unter den Sohlen,7+/8-,Klausener Wand,1,5,,,sport
2018-05-27,redpoint,Klausener Wand,Zum Warmmachen,7,Klausener Wand,1,5,,,sport
2018-05-27,attempt,Klausener Wand,Luft unter den Sohlen,8-,Klausener Wand,1,5,,,sport
2018-05-31,attempt,Zankelstein,Direkte Talseite,7+/8-,Zankelstein,1,5,,,sport
2018-05-31,attempt,Zankelstein,Tabaluga,7+/8-,Zankelstein,1,5,,,sport
2018-05-31,attempt,Zankelstein,Sprochkante,6+,Zankelstein,1,5,,,sport
2018-06-04,attempt,Henastoa,Kurzum,7-,Henastoa,1,5,,,sport
2018-06-04,attempt,Henastoa,Knödala,6+,Henastoa,1,5,,,sport
2018-06-04,redpoint,Henastoa,Kurzum,7,Henastoa,3,5,,,sport
2018-06-04,redpoint,Henastoa,Knödala,6+,Henastoa,3,5,,,sport
2018-06-04,attempt,Henastoa,Minor Threat,7-,Henastoa,1,5,,,sport
2018-06-04,attempt,Henastoa,Minor Threat,7-,Henastoa,1,5,,,sport
2018-07-30,onsight,Henastoa,MaPaKaLi,5-,Henastoa,1,5,,,sport
2018-07-30,onsight,Henastoa,ClaMaU.C,5-,Henastoa,1,5,,,sport
2018-07-30,attempt,Henastoa,Kurzum,7,Henastoa,1,5,,,sport
2018-08-02,attempt,Zehnerstein,Seifertriss,6+,Zehnerstein,1,5,,,sport
2018-08-02,onsight,Zehnerstein,Zwei Jahre später,7-,Zehnerstein,1,5,,,sport
2018-08-05,onsight,Bärnhofer Wand,Nürnberger Weg,6+,Bärnhofer Wand,1,4,,,sport
2018-08-05,redpoint,Bärnhofer Wand,Waldrausch,7,Bärnhofer Wand,3,5,,,sport
2018-08-05,attempt,Bärnhofer Wand,Moralapostel,7-,Bärnhofer Wand,1,5,,,sport
2018-08-05,attempt,Bärnhofer Wand,Waldrausch,7-,Bärnhofer Wand,1,5,,,sport
2018-08-05,flash,Bärnhofer Wand,Gummitwist mit dem Antichrist,7-,Bärnhofer Wand,1,5,,,sport
2018-08-06,onsight,Röthelfels,Röthelfieber,7-,Sektor 6 - Depotweg & Zinnenwand,1,5,,,sport
2018-08-06,onsight,Röthelfels,Kleiner Dicker,7-,Sektor 6 - Depotweg & Zinnenwand,1,5,,,sport
2018-08-06,onsight,Röthelfels,Ratte,6+,Sektor 6 - Depotweg & Zinnenwand,1,5,,,sport
2018-09-09,attempt,Strahlenfels,Fight Club,8+/9-,Strahlenfels,1,5,,,sport
2018-09-09,attempt,Strahlenfels,Symphonie,7+/8-,Strahlenfels,1,5,,,sport
2018-09-09,redpoint,Strahlenfels,Nightwish,7+/8-,Strahlenfels,2,5,,,sport
2018-09-16,redpoint,Schmidtstadter Wand,Schmidtstadter Weg,7-,Schmidtstadter Wand,2,3,,,sport
2018-09-16,attempt,Schmidtstadter Wand,Weißglut,7+,Schmidtstadter Wand,1,3,,,sport
2018-09-16,attempt,Schmidtstadter Wand,Red Sonja,7+/8-,Schmidtstadter Wand,1,3,,,sport
2018-09-16,redpoint,Schmidtstadter Wand,Kanaan,6+,Schmidtstadter Wand,2,3,,,sport
2018-09-16,attempt,Schmidtstadter Wand,Plastic Fantastic,7+/8-,Schmidtstadter Wand,1,5,,,sport
2018-09-28,attempt,Kanzelfels (Förrenbach),Franz Diewald Ged.-Weg,8+,Kanzelfels,1,3,,,sport
2018-09-28,onsight,Kanzelfels (Förrenbach),Herbstkind,6+,Kanzelfels,1,1,,,sport
2018-10-07,attempt,Roter Fels,Hannig Mayer Ged.-Weg,8-,Sektor 2,1,3,,,sport
2018-10-07,onsight,Roter Fels,Dolomitweg,6,Sektor 2,1,5,,,sport
