"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"ROUTE","Liebe auf den zweiten Blick","Klausener Wand","Klausener Wand",,"DE","2017-09-03T12:00:00Z","rp",,"3","0","3","0","7+/8-",,"","20","0","null"
"ROUTE","Zum Warmmachen","Klausener Wand","Klausener Wand",,"DE","2017-09-03T12:00:00Z","rp",,"4","0","2","0","7",,"","20","0","null"
"ROUTE","Goude Haud","Happurger Wand","Happurger Wand",,"DE","2017-09-12T12:00:00Z","os",,"3","0","1","0","6+",,"","18","0","null"
"ROUTE","Frauen über 30","Hohler Fels","Hohler Fels",,"DE","2017-09-12T12:00:00Z","go",,"0","0","2","0","7-",,"","25","0","null"
"ROUTE","Barrakuda","Hohler Fels","Hohler Fels",,"DE","2017-09-12T12:00:00Z","go",,"4","0","2","0","7+/8-",,"","25","0","null"
"GYM_ROUTE","Frauenpower","Cube Kletterzentrum",,,,"2017-10-22T12:00:00Z","rp",,"5","0","2","0","6-",,"","13","0","null"
"ROUTE","Hersbrucker Weg","Kanzelfels (Förrenbach)","Kanzelfels",,"DE","2018-04-02T12:00:00Z","go",,"5","0","0","0","6-",,"","15","0","null"
"ROUTE","Hersbrucker Weg","Kanzelfels (Förrenbach)","Kanzelfels",,"DE","2018-04-02T12:00:00Z","rp",,"5","0","3","0","6-",,"","15","0","null"
"ROUTE","Größenwahn","Kanzelfels (Förrenbach)","Kanzelfels",,"DE","2018-04-02T12:00:00Z","go",,"5","0","0","0","7+/8-",,"","15","0","null"
"ROUTE","Arrabiata","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2018-04-04T12:00:00Z","rp",,"5","0","3","0","7",,"","15","0","null"
"ROUTE","Lady Domina","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2018-04-04T12:00:00Z","go",,"5","0","0","0","7-",,"","15","0","null"
"ROUTE","Boulder","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2018-04-04T12:00:00Z","go",,"5","0","3","0","7-",,"","15","0","null"
"ROUTE","Verfassungsbeschwerde","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2018-04-04T12:00:00Z","rp",,"5","0","3","0","7-",,"","15","0","null"
"ROUTE","Kiefernverschneidung","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2018-04-04T12:00:00Z","go",,"5","0","3","0","6-",,"","15","0","null"
"ROUTE","Für Elsa und Dani","Lug ins Land","Lug ins Land",,"DE","2018-04-08T12:00:00Z","os",,"5","0","1","0","6-",,"","12","0","null"
"ROUTE","Wilde Amelie","Lug ins Land","Lug ins Land",,"DE","2018-04-08T12:00:00Z","go",,"5","0","0","0","6-",,"","12","0","null"
"ROUTE","Höhenglückwand","Himmelsfels","Himmelsfels",,"DE","2018-04-08T12:00:00Z","rp",,"5","0","2","0","7-",,"","15","0","null"
